james-bannon,yes
tom-barry,yes
pat-breen,yes
ray-butler,yes
jerry-buttimer,yes
catherine-byrne,yes
eric-byrne,yes
ciaran-cannon,yes
joe-carey,yes
paudie-coffey,yes
-ine-collins,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
michael-creed,yes
NOT FOUND: LucindaCreighton,yes
jim-daly,yes
john-deasy,yes
pat-deering,yes
regina-doherty,yes
paschal-donohoe,yes
robert-dowds,yes
andrew-doyle,yes
bernard-durkan,yes
damien-english,yes
alan-farrell,yes
peter-fitzpatrick,yes
charles-flanagan,yes
terence-flanagan,yes
brendan-griffin,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
brian-hayes,yes
tom-hayes,yes
martin-heydon,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
colm-keaveney,yes
alan-kelly,yes
sean-kenny,yes
sean-kyne,yes
anthony-lawlor,yes
ciaran-lynch,yes
kathleen-lynch,yes
john-lyons,yes
michael-mccarthy,yes
nicky-mcfadden,yes
joe-mchugh,yes
tony-mcloughlin,yes
michael-mcnamara,yes
eamonn-maloney,yes
peter-mathews,yes
olivia-mitchell,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
dara-murphy,yes
eoghan-murphy,yes
gerald-nash,yes
dan-neville,yes
derek-nolan,yes
aodhan-o-r-ordain,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
fergus-o-dowd,yes
john-o-mahony,yes
joe-o-reilly,yes
john-perry,yes
ann-phelan,yes
john-paul-phelan,yes
michael-ring,yes
brendan-ryan,yes
sean-sherlock,yes
arthur-spring,yes
emmet-stagg,yes
david-stanton,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
liam-twomey,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
richard-boyd-barrett,no
tommy-broughan,no
john-browne,no
dara-calleary,no
joan-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
dessie-ellis,no
martin-ferris,no
noel-grealish,no
seamus-healy,no
michael-healy-rae,no
billy-kelleher,no
michael-p-kitt,no
padraig-maclochlainn,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
finian-mcgrath,no
mattie-mcgrath,no
sandra-mclellan,no
micheal-martin,no
michael-moynihan,no
catheine-murphy,no
patrick-nulty,no
caoimhgh-n-o-caolain,no
eamon-o-c-iv,no
sean-o-fearghail,no
maureen-o-sullivan,no
aengus-o-snodaigh,no
jonathan-o-brien,no
thomas-pringle,no
shane-peter-nathaniel-ross,no
roisin-shortall,no
brendan-smith,no
brian-stanley,no
peadar-t-ib-n,no
robert-troy,no
mick-wallace,no
alan-shatter,absent
anne-ferris,absent
brendan-howlin,absent
eamon-gilmore,absent
enda-kenny,absent
frances-fitzgerald,absent
gerry-adams,absent
james-reilly,absent
jan-o-sullivan,absent
jimmy-deenihan,absent
joan-burton,absent
joe-costello,absent
joe-higgins,absent
john-halligan,absent
john-mcguinness,absent
leo-varadkar,absent
lucinda-creighton,absent
luke-ming-flanagan,absent
michael-lowry,absent
michael-mcgrath,absent
michael-noonen,absent
niall-collins,absent
pat-rabbitte,absent
phil-hogan,absent
richard-bruton,absent
ruairi-quinn,absent
seamus-kirk,absent
sean-barrett,absent
sean-fleming,absent
shane-mcentee,absent
simon-coveney,absent
stephen-donnelly,absent
timmy-dooley,absent
tom-fleming,absent
willie-penrose,absent